,title,date,month,year,source,order_month,label,url
0,"Artikel Berjudul “Nama Muhammad dan Ali Dilarang Terbang, Kebijakan Imigrasi Bukti ",2020-01-01,January,2020,kominfo,1,,
1,Makan Kangkung Bikin Ngantuk ,2020-01-01,January,2020,kominfo,1,,
2,Transaksi Jual Mobil Atas Nama Kapolres Sampang ,2020-01-01,January,2020,kominfo,1,,
3,Transportasi Baru Pengganti Busway Ketika Jakarta Banjir ,2020-01-01,January,2020,kominfo,1,,
4,Ular Salju Mematikan ,2020-01-01,January,2020,kominfo,1,,
5,Presiden Sedang Menghina Rakyatnya Sendiri ,2020-01-01,January,2020,kominfo,1,,
6,BMKG Melarang Masyarakat Rayakan Malam Tahun Baru di Pantai ,2020-01-01,January,2020,kominfo,1,,
7,Seorang Pria di Garut Menginjak Al Quran ,2020-01-01,January,2020,kominfo,1,,
8,Tom Cruise Mau Jadi Presiden 2020 ,2020-01-01,January,2020,kominfo,1,,
9,Kecelakaan di Jalur Cikidang ,2020-01-01,January,2020,kominfo,1,,
10,4 Penari Tari Umbul di Sumedang Meninggal Dunia ,2020-01-01,January,2020,kominfo,1,,
11,China Mampu Buat Kain Tembus Pandang Buat Kamuflase Saat Perang ,2020-01-01,January,2020,kominfo,1,,
12,Rumah Tina Toon Terendam Banjir ,2020-01-01,January,2020,kominfo,1,,
13,#BanjirJakarta4niesDimana BMW hanyut mengikuti sunatullah ,2020-01-01,January,2020,kominfo,1,,
14,"Foto “Tak Diliput Media, Begini Kondisi Anies Saat Tangani Banjir Jakarta” ",2020-01-01,January,2020,kominfo,1,,
15,Foto Burung Terkecil di Dunia ,2020-01-01,January,2020,kominfo,1,,
16,Ada Buaya di Kampung Melayu ,2020-01-01,January,2020,kominfo,1,,
17,Foto Surabaya Dikepung Banjir ,2020-01-01,January,2020,kominfo,1,,
18,Foto Anies Selfie di Tengah Warga Jakarta Yang Kebanjiran ,2020-01-01,January,2020,kominfo,1,,
19,Titip Surat Mengatasnamakan BKN ,2020-01-01,January,2020,kominfo,1,,
20,Rumah Hotman Paris Kebanjiran ,2020-01-01,January,2020,kominfo,1,,
21,SCP 169 Hewan Raksasa Purba yang Ukurannya Lebih Besar dari Apapun di Dunia ,2020-01-01,January,2020,kominfo,1,,
22,Banjir Bandang di Obyek Wisata Guci ,2020-01-01,January,2020,kominfo,1,,
23,Ustaz Yusuf Mansur Tertawakan Anies yang Sedang Inspeksi Banjir Jakarta ,2020-01-01,January,2020,kominfo,1,,
24,"Tiap Malam Makan Mie Instan, Mahasiswa Meninggal ",2020-01-01,January,2020,kominfo,1,,
25,Jokowi : Lebih Mudah Mengatasi Banjir Jika Saya Presiden Kalau Gubernurnya Ahok ,2020-01-01,January,2020,kominfo,1,,
26,Megawati Minta Jokowi Segera Cari Pengganti KH Ma'ruf Amin ,2020-01-01,January,2020,kominfo,1,,
27,Penangkapan Ular Sanca di Pejaten Barat Jakarta Selatan Saat Banjir ,2020-01-01,January,2020,kominfo,1,,
28,Ketua Umum PBNU Said Aqil Beragama Hindu ,2020-01-01,January,2020,kominfo,1,,
29,Pemberitahuan Siaga Banjir Bendungan Bili - bili Mengatasnamakan Bupati Gowa ,2020-01-01,January,2020,kominfo,1,,
30,Kandungan Thimerosal dalam Vaksin Sebabkan Autisme ,2020-01-01,January,2020,kominfo,1,,
31,Judul Berita Tempo yang Memuat MUI Larang Bermain Terompet dan Kembang Api ,2020-01-01,January,2020,kominfo,1,,
32,Anomali Hujan Deras Saat Bulan Purnama 10-15 Januari 2020 ,2020-01-01,January,2020,kominfo,1,,
33,Media Lebay Memberitakan Banjir Jakarta ,2020-01-01,January,2020,kominfo,1,,
34,Princess Qajar Simbol Kecantikan Yang Bikin 13 Pria Bunuh Diri ,2020-01-01,January,2020,kominfo,1,,
35,Foto Anies Baswedan Membaca Buku “PEDOMAN MENATA KATA” ,2020-01-01,January,2020,kominfo,1,,
36,Gudang Tokopedia Terendam Banjir ,2020-01-01,January,2020,kominfo,1,,
37,Penyiksaan Muslim Uyghur ,2020-01-01,January,2020,kominfo,1,,
38,Anies Potong Anggaran Banjir Demi Formula E ,2020-01-01,January,2020,kominfo,1,,
39,"Tulisan Akbar Tandjung Tentang Luhut Binsar Pandjaitan ""Luhut Itu Menteri Indonesia ",2020-01-01,January,2020,kominfo,1,,
40,Pengambilan SK 100% Di BKD Masing-Masing Instansi Pada 17 Januari 2020 ,2020-01-01,January,2020,kominfo,1,,
41,Dokter Minta Wapres Ma’ruf Amin Beristirahat ,2020-01-01,January,2020,kominfo,1,,
42,Debby Maulana Dilaporkan Hilang ,2020-01-01,January,2020,kominfo,1,,
43,Banjir Bandang di Cipanas Puncak ,2020-01-01,January,2020,kominfo,1,,
44,Pelayan Antar Dimsum Pakai Perahu Saat Banjir ,2020-01-01,January,2020,kominfo,1,,
45,Kista Bisa Hilang Setelah Melahirkan ,2020-01-01,January,2020,kominfo,1,,
46,"Sekretaris Camat Purwakarta, Wawan Ihwani Meminjam Uang ",2020-01-01,January,2020,kominfo,1,,
47,Dirut KAI Cek Banjir Naik Getek Berkursi ,2020-01-01,January,2020,kominfo,1,,
48,Lowongan Kerja PT Inalum ,2020-01-01,January,2020,kominfo,1,,
49,Rekrutmen Mengatasnamakan PT PELNI (Perser,2020-01-01,January,2020,kominfo,1,,
50,Panggilan Interview PGaruda Indonesia Pada Tanggal 7 Januari 2020 ,2020-01-01,January,2020,kominfo,1,,
51,Apakah Ozzy Osbourne Di Ranjang Kematiannya ,2020-01-01,January,2020,kominfo,1,,
52,Kecelakaan Mobil Parah Akibat Ranjau Paku Pada Buah Jeruk ,2020-01-01,January,2020,kominfo,1,,
53,Jakarta akan Dilanda Banjir Lagi pada Akhir Januari atau Awal Februari 2020 ,2020-01-01,January,2020,kominfo,1,,
54,Video Longsor Susulan Di Sukajaya Hari Ini 6 Januari 2020 ,2020-01-01,January,2020,kominfo,1,,
55,Longsor Di Pertambangan Pasir Sumedang ,2020-01-01,January,2020,kominfo,1,,
56,Video Do’a Dari Anak-anak Muslim Uighur ,2020-01-01,January,2020,kominfo,1,,
57,"Banjir Bandang di Tayu, Kabupaten Pati, Jawa Tengah ",2020-01-01,January,2020,kominfo,1,,
58,Ada Korban Jiwa Ulah Begal di Batu 7 Tanjungpinang ,2020-01-01,January,2020,kominfo,1,,
59,Video Penampakan Tol Laut Pertama di Indonesia ,2020-01-01,January,2020,kominfo,1,,
60,Akun Facebook Mengatasnamakan Jarot Winarno Bupati Sintang ,2020-01-01,January,2020,kominfo,1,,
61,Anggota Brimob Tewas Akibat Ditembak KKB di Kabupaten Intan Jaya ,2020-01-01,January,2020,kominfo,1,,
62,Kebakaran Australia dari Luar Angkasa ,2020-01-01,January,2020,kominfo,1,,
63,Puan Maharani: Nasib Anak dan Menantu Jokowi Ada di Ibu Saya ,2020-01-01,January,2020,kominfo,1,,
64,Pemasukan TikTok Digunakan untuk Mendirikan Kamp Konsentrasi Muslim Uighur China ,2020-01-01,January,2020,kominfo,1,,
65,Longsor Susulan di Cigudeg ,2020-01-01,January,2020,kominfo,1,,
66,Anggota Polisi Mendiamkan Korban Kecelakaan ,2020-01-01,January,2020,kominfo,1,,
67,Penemuan Sabu di Dalam Nanas Oleh BNN dan Mabes Polri ,2020-01-01,January,2020,kominfo,1,,
68,Ibu Hamil Terjepit Shuttle Bus Bandara Soetta Hingga Pingsan ,2020-01-01,January,2020,kominfo,1,,
69,Menghilangkan Tahi Lalat Dengan Kapur Sirih dan Sabun Colek ,2020-01-01,January,2020,kominfo,1,,
70,SMS Pemenang Shopee New Year And Sale ,2020-01-01,January,2020,kominfo,1,,
71,Surat panggilan Tes Calon Karyawan PPertamina Pada Tanggal 09 Januari 2020 ,2020-01-01,January,2020,kominfo,1,,
72,Bantuan Hukum KBRI London Untuk Pemulangan Reynhard ,2020-01-01,January,2020,kominfo,1,,
73,Anggota BANSER di kudus jawa tengah di keroyok sama emak-emak penjual nasi uduk ,2020-01-01,January,2020,kominfo,1,,
74,Proyek Kereta Cepat Kebanggaan Presiden Jokowi dari Hasil Utang ke China Roboh ,2020-01-01,January,2020,kominfo,1,,
75,Penampakan Video Drone Yang Diklaim Sebagai Serangan Dari USA Terhadap Jenderal ,2020-01-01,January,2020,kominfo,1,,
76,Video Angin Puting Beliung di Klaten ,2020-01-01,January,2020,kominfo,1,,
77,"Video Tanah Bergerak Terjadi di Ciniru, Kuningan ",2020-01-01,January,2020,kominfo,1,,
78,Video Wanita Berbikini di Tengah Banjir Jatinegara ,2020-01-01,January,2020,kominfo,1,,
79,Pesan Berantai Dua Laki-laki Memakai Baju Lambang Pancasila Menipu dan ,2020-01-01,January,2020,kominfo,1,,
80,"Isu Tsunami di Kabupaten Kayong Utara, Ketapan",2020-01-01,January,2020,kominfo,1,,
81,Dr Ahmed Gozali Dari Irak Mendo'akan Korban Banjir Di Jakarta ,2020-01-01,January,2020,kominfo,1,,
82,Snack Berbahaya Dibuat di Israel ,2020-01-01,January,2020,kominfo,1,,
83,Warga Garut Jadi Korban Pembegalan di Kawasan Jalan Patriot ,2020-01-01,January,2020,kominfo,1,,
84,Anggota Dishub Disebut Cari-cari Kesalahan Sopir Truk ,2020-01-01,January,2020,kominfo,1,,
85,Tujuh Pernyataan Ekstrem Pak Menkes ,2020-01-01,January,2020,kominfo,1,,
86,Malaysia Diam-diam Geser Patok Perbatasan saat Indonesia-China Memanas ,2020-01-01,January,2020,kominfo,1,,
87,"Kunjungi Lokasi Banjir Bogor, Hujan Lokal Hanya Mengguyur Tubuh Jokowi ? ",2020-01-01,January,2020,kominfo,1,,
88,China Telah Membangun Pangkalan Militer di Natuna ,2020-01-01,January,2020,kominfo,1,,
89,Video Banjir Bandang di Citatah Padalarang ,2020-01-01,January,2020,kominfo,1,,
90,Video Bencana Banjir Bendung Wilalung ,2020-01-01,January,2020,kominfo,1,,
91,Akun Facebook Mengatasnamakan Gland Kowaas Camat Kecamatan Paal II ,2020-01-01,January,2020,kominfo,1,,
92,Pesan Berantai Berisi Biaya Tilang Terbaru di Indonesia dan Pemberian Hadiah untuk ,2020-01-01,January,2020,kominfo,1,,
93,Fauzi Baadila Meninggal ,2020-01-01,January,2020,kominfo,1,,
94,Surat Panggilan Tes Seleksi PAngkasa Pura Pada 11 Januari 2020 ,2020-01-01,January,2020,kominfo,1,,
95,Panggilan Tes Seleksi Calon Karyawan PT Pertamina ,2020-01-01,January,2020,kominfo,1,,
96,"Foto Musim Dingin Anak-Anak di Gaza, Palestina ",2020-01-01,January,2020,kominfo,1,,
97,Jokowi Terbitkan PP No 30/2019 Anies Akan Dipecat ,2020-01-01,January,2020,kominfo,1,,
98,Menag Fachrul Ingin Bahasa China Menjadi Syarat Kelulusan Siswa Madrasah Aliyah ,2020-01-01,January,2020,kominfo,1,,
99,KPK Gagal Geledah Kantor DPP PDIP ,2020-01-01,January,2020,kominfo,1,,
100,Video Amatir Angin Puting Beliung di Madiun ,2020-01-01,January,2020,kominfo,1,,
101,"Pemerintah Iran Hargai Kepala Donald Trump Rp 1,1 Triliun ",2020-01-01,January,2020,kominfo,1,,
102,Data Bahan Paparan Menko PMK Terkait Penanganan Banjir ,2020-01-01,January,2020,kominfo,1,,
103,Akun Instagram Mengatasnamakan Pelatih Persebaya Surabaya Aji Santoso ,2020-01-01,January,2020,kominfo,1,,
104,Pesan WhatsApp Kadis Perikanan Pandeglang Pinjam Uang ,2020-01-01,January,2020,kominfo,1,,
105,Zona Megathrust di Selat Makassar ,2020-01-01,January,2020,kominfo,1,,
106,SMS Pemenang Undian Hadiah PPertamina (Perser,2020-01-01,January,2020,kominfo,1,,
107,"Jokowi Sebut China Hanya Mengejar Ikan yang Lari ke Indonesia Melalui Natuna, Jadi ",2020-01-01,January,2020,kominfo,1,,
108,Tanggul Laut Jebol di Kamal Muara ,2020-01-01,January,2020,kominfo,1,,
109,Hasil Buruan Singa Iran Pada Serigala AS ,2020-01-01,January,2020,kominfo,1,,
110,"Video ""Puting Beliung Di Ciniru Kuningan Jawa Barat"" ",2020-01-01,January,2020,kominfo,1,,
111,PT Taspen Bagi-Bagi Deviden dan Tabungan Hari Tua Ke Pensiunan PNS ,2020-01-01,January,2020,kominfo,1,,
112,Panggilan Tes Calon Karyawan PT Bursa Efek Indonesia ,2020-01-01,January,2020,kominfo,1,,
113,Open Recruitment Pertamina Tanggal 21 Januari 2020 ,2020-01-01,January,2020,kominfo,1,,
114,"Banjir Bandang Dahsyat dan Longsor Mengakibatkan Jalan Putus di Tanggamus, ",2020-01-01,January,2020,kominfo,1,,
115,Akun Sekretaris Provinsi Kaltim Rusmadi Wongso Meminta Pertemanan dan Nomor ,2020-01-01,January,2020,kominfo,1,,
116,Foto-foto Akibat Serangan yang Terjadi ke Pangkalan Ain Al-Asad Anbar Pada Januari ,2020-01-01,January,2020,kominfo,1,,
117,Video Angin Monsun di Parepare ,2020-01-01,January,2020,kominfo,1,,
118,Bendungan Jatiluhur Kirim Banjir ke Bekasi ,2020-01-01,January,2020,kominfo,1,,
119,Kebijakan Baru LTMPT dan Ristekdikti ,2020-01-01,January,2020,kominfo,1,,
120,Info Jalur Masuk UI Tanpa Tes Bagi Hafiz Quran ,2020-01-01,January,2020,kominfo,1,,
121,Promo Kupon Big Meal KFC Melalui Pesan Berantai di WhatsApp ,2020-01-01,January,2020,kominfo,1,,
122,Jembatan Soekarno-Hatta di Kota Malang Melengkung ,2020-01-01,January,2020,kominfo,1,,
123,Uji Coba Tilang e-CCTV di Kota Salatiga Mulai Tanggal 13 Januari 2020 ,2020-01-01,January,2020,kominfo,1,,
124,Video Penangkapan Penculikan Anak Dalam Karung di Bekasi ,2020-01-01,January,2020,kominfo,1,,
125,Sekjen PDIP Hasto Kristiyanto Menangis Saat Didatangi Penyidik KPK ,2020-01-01,January,2020,kominfo,1,,
126,Forum Umat Islam Bima Sebut Pura Sebagai Tempat Najis ,2020-01-01,January,2020,kominfo,1,,
127,"Jalan Daan Mogot Ambles ""Anies Sempat Mengatakan Jakarta Beruntung Tidak Ada ",2020-01-01,January,2020,kominfo,1,,
128,Surat Perintah BNPB Terkait Normalisasi Sungai di Sulawesi Tenggara ,2020-01-01,January,2020,kominfo,1,,
129,Mantan Komisioner KPU Wahyu Setiawan Adalah Keturunan PKI ,2020-01-01,January,2020,kominfo,1,,
130,Penipuan Mengatasnamakan LinkAja Indonesia ,2020-01-01,January,2020,kominfo,1,,
131,Megawati Menyuap Ketua KPU Arief Budiman 2 Triliyun ,2020-01-01,January,2020,kominfo,1,,
132,Foto Al-Quran Dibakar di China ,2020-01-01,January,2020,kominfo,1,,
133,"Video ""Pekerja China Tertimbun Longsor"" ",2020-01-01,January,2020,kominfo,1,,
134,Penculikan Anak di Desa Kranji Paciran Lamongan ,2020-01-01,January,2020,kominfo,1,,
135,Ikan Naik ke Permukaan di Gorontalo Pertanda Gempa ,2020-01-01,January,2020,kominfo,1,,
136,Stok Rudal Indonesia Menuju Natuna ,2020-01-01,January,2020,kominfo,1,,
137,Komisioner KPU Wahyu Setiawan: Hasil Pilkada 2020 Sudah Ditentukan Sebelum ,2020-01-01,January,2020,kominfo,1,,
138,"Berita Kompas: Pasca-Kunjungan Jokowi di Natuna, Kapal Ikan Asing Semakin ",2020-01-01,January,2020,kominfo,1,,
139,Foto Anak Dikutuk Jadi Domba Berkepala Anjing ,2020-01-01,January,2020,kominfo,1,,
140,Mulai 1 Februari 2020 Imigrasi Daerah Aruk Sambas dan Imigrasi Daerah Badau Tidak ,2020-01-01,January,2020,kominfo,1,,
141,Megawati sedang Membusukkan Nama KPU untuk Membongkar Ijazah Palsu Jokowi ,2020-01-01,January,2020,kominfo,1,,
142,Uji Coba Tilang e-CCTV Tanggal 20 Januari 2020 di Jalanan Pasar Payakumbuh ,2020-01-01,January,2020,kominfo,1,,
143,Mantan Direktur Keuangan Jiwasraya Hary Prasetyo Kabur ke London ,2020-01-01,January,2020,kominfo,1,,
144,Jembatan Kembar Gowa Bergeser dan Akan Roboh ,2020-01-01,January,2020,kominfo,1,,
145,“Halal Park” Bandara Soekarno Hatta Hanya Diperuntukkan Bagi Muslim ,2020-01-01,January,2020,kominfo,1,,
146,"Pesan Ali Ngabalin ke Anies: Kerja, Jangan Menghayal jadi Presiden, cuihh!! ",2020-01-01,January,2020,kominfo,1,,
147,Bunga Ini Mekar hanya Saat Adzan Dikumandangkan ,2020-01-01,January,2020,kominfo,1,,
148,Rumah Ibadah Masjid Tidak Ada di Kecamatan Pakem ,2020-01-01,January,2020,kominfo,1,,
149,Restoran Larang Driver Ojol Masuk ,2020-01-01,January,2020,kominfo,1,,
150,Ketinggian Air di Bendungan Bili-Bili Melewati Angka Normal ,2020-01-01,January,2020,kominfo,1,,
151,Akun Facebook Mengatasnamakan Wakil Ketua Komisi B DPRD Jatim ,2020-01-01,January,2020,kominfo,1,,
152,"CNN Indonesia ""Banjir di Jakarta adalah Air Mata Malaikat yang Terharu pada Alumni ",2020-01-01,January,2020,kominfo,1,,
153,"Pemilik Mobil yang Terseret Banjir di Kota Ashkelon Israel, Masuk ke Dalam Penggugat ",2020-01-01,January,2020,kominfo,1,,
154,Penculikan Anak di Kecamatan Seruyan Tengah ,2020-01-01,January,2020,kominfo,1,,
155,Simpatisan PDIP Untuk Demo di Balai Kota ,2020-01-01,January,2020,kominfo,1,,
156,Wapres Kaget Aliran Uang Jiwasraya Masuk ke Dana Kampanye Jokowi-Ma’ruf ,2020-01-01,January,2020,kominfo,1,,
157,Beli Es Cendol Pakai Pecahan Genteng ,2020-01-01,January,2020,kominfo,1,,
158,Bupati Boven Digoel Tewas Usai Berzinah ,2020-01-01,January,2020,kominfo,1,,
159,"Raja Agung Sejagad: yang Plonga Plongo Bisa Jadi Pemimpin, Masa Saya Ndak Boleh ",2020-01-01,January,2020,kominfo,1,,
160,Pengusiran Tunanetra di Wyata Guna Bandung ,2020-01-01,January,2020,kominfo,1,,
161,Foto Misil Iran yang Disiapkan Setelah Pemimpin Militernya Dibunuh Amerika ,2020-01-01,January,2020,kominfo,1,,
162,Megawati Imbau Kasus Wahyu Setiawan Tidak Perlu Dilanjutkan ,2020-01-01,January,2020,kominfo,1,,
163,Video Ikan Berhamburan di Waduk Wadaslintang Kebumen ,2020-01-01,January,2020,kominfo,1,,
164,Cara Menghindari Denda Saat E-toll Hilang ,2020-01-01,January,2020,kominfo,1,,
165,Surat Panggilan Seleksi Calon Karyawan PT Pertamina Hulu Energi ,2020-01-01,January,2020,kominfo,1,,
166,Akun Facebook Mengatasnamakan Wakil Bupati Kabupaten Halmahera Selatan ,2020-01-01,January,2020,kominfo,1,,
167,Penculikan Anak di Bangil Pasuruan Jawa Timur ,2020-01-01,January,2020,kominfo,1,,
168,Moeldoko: Kekalahan Telak Jokowi karena Isu Agama Tak Terbendung ,2020-01-01,January,2020,kominfo,1,,
169,China Claim Reynhard Sinaga Adalah Warga Negara China ,2020-01-01,January,2020,kominfo,1,,
170,Penculikan Anak di Kupang ,2020-01-01,January,2020,kominfo,1,,
171,Video Serangan Puluhan Roket dan Rudal Iran Ke Basis Militer Amerika Serikat ,2020-01-01,January,2020,kominfo,1,,
172,Spanduk Pro Jokowi ,2020-01-01,January,2020,kominfo,1,,
173,Mahfud MD Sebut Tepuk Islam Yes Kafir No Menyakitkan ,2020-01-01,January,2020,kominfo,1,,
174,Tambahan Pelat Besi untuk Mengurangi Isi Gas dalam Tabung ,2020-01-01,January,2020,kominfo,1,,
175,Video Kepala Korban Begal Putus di Sepatan ,2020-01-01,January,2020,kominfo,1,,
176,Rieke Diah Pitaloka Minta Presiden Jokowi Mundur ,2020-01-01,January,2020,kominfo,1,,
177,Surat Pengangkatan Honorer Jadi PNS Mengatasnamakan Kementerian PANRB ,2020-01-01,January,2020,kominfo,1,,
178,Siswa SDN 02 Pagi Kebon Jeruk Diminta Beli Buku Paket ,2020-01-01,January,2020,kominfo,1,,
179,Surat Pemberitahuan Pemadaman Listrik Wilayah Pondok Gede tgl 17 & 18 Januari 2020 ,2020-01-01,January,2020,kominfo,1,,
180,Pesan Whatsapp Mengatasnamakan Kepala Suku Dinas Perhubungan Jakarta Barat ,2020-01-01,January,2020,kominfo,1,,
181,Barack Obama Mengumumkan Niat Untuk Mencalonkan Diri sebagai Presiden Kenya ,2020-01-01,January,2020,kominfo,1,,
182,Seorang Pria Bersenjata Api Menodong Pengendara Mobil di Brebes ,2020-01-01,January,2020,kominfo,1,,
183,UPI Menjadi Lokasi Sunda Empire ,2020-01-01,January,2020,kominfo,1,,
184,"Penculikan Anak di Kuranji, Kota Padang ",2020-01-01,January,2020,kominfo,1,,
185,MK Mengakui Adanya Kecurangan Pilpres tapi Hakim MK Memenangkan ,2020-01-01,January,2020,kominfo,1,,
186,Krim Analgesik Digunakan untuk Bakar Lemak Wajah ,2020-01-01,January,2020,kominfo,1,,
187,Surat Panggilan Tes Seleksi PAngkasa Pura (PerserPada Tanggal 20 Januari 2020 ,2020-01-01,January,2020,kominfo,1,,
188,Percobaan Penculikan Anak pada Tanggal 15 Januari 2020 di Jember ,2020-01-01,January,2020,kominfo,1,,
189,Bunglon Berkamuflase Mengikuti Objek yang Ditempati ,2020-01-01,January,2020,kominfo,1,,
190,Viral Video Pohon Bambu Berbuah di Pamekasan ,2020-01-01,January,2020,kominfo,1,,
191,Gubernur Edy Rahmayadi Musnahkan Babi di Sumatera Utara ,2020-01-01,January,2020,kominfo,1,,
192,KPK Janji Geledah DPP PDIP setelah Dapat Izin dari Megawati ,2020-01-01,January,2020,kominfo,1,,
